principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,factoresprecio,numerofactor
levocetirizina,Jarabe,"levocetirizina 0,05 g",ml,Antiss,Lafrancol,Alto,3
levocetirizina,Solución o suspensión oral,levocetirizina 5 mg,ml,Lezat,Siegfried,Alto,3
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levocetirizina,Memphis,Medio,2
levocetirizina,Jarabe,levocetirizina 50 mg,ml,Levotrex,Procaps,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levopraz,Mega Labs,Alto,3
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Lecetir,Pharmaderm,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Drilyna,Bago,Alto,3
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levocetirizina,La Sante,Medio,2
levocetirizina,Solución o suspensión oral,"levocetirizina 0,1 g + levocetirizina 0,05 g",ml,Antiss D,Lafrancol,Medio,2
levocetirizina,Solución o suspensión oral,"levocetirizina 0,05 g",ml,Levocetirizina,Genfar,Alto,3
levocetirizina,Jarabe,"levocetirizina 0,05 g",ml,Levocetirizina 0.05 %,La Sante,Bajo,1
levocetirizina,Solución o suspensión oral,"levocetirizina 0,05 g",ml,Levoc Jarabe,Legrand,Bajo,1
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Cetrilev,Hetero Labs,Bajo,1
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levodrine,Novamed,Bajo,1
levocetirizina,Solución o suspensión oral,"levocetirizina 0,1 g",ml,Levocetirizina,Mk,Bajo,1
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Glencet,Glenmark,Alto,3
levocetirizina,Solución o suspensión oral,levocetirizina 5 mg/ml,ml,Levoc Gotas,Legrand,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Alerness,Tecnoquimicas,Bajo,1
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levocetirizina Diclorhidrato,Mk,Bajo,1
levocetirizina,Solución o suspensión oral,"levocetirizina 0,1 g",ml,Alerness,Tecnofar,Alto,3
levocetirizina,Solución o suspensión oral,levocetirizina 5 mg,ml,Histadine,Anglopharma,Bajo,1
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levotrex,Procaps,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levocetirizina,Procaps,Bajo,1
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Cehaler,Anzg,Alto,3
levocetirizina,Jarabe,"levocetirizina 0,05 g",ml,Antiss,Lafrancol,Medio,2
levocetirizina,Solución o suspensión oral,levocetirizina 5 mg,ml,Lezat,Siegfried,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levocetirizina,Memphis,Alto,3
levocetirizina,Jarabe,levocetirizina 50 mg,ml,Levotrex,Procaps,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levopraz,Mega Labs,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Drilyna,Bago,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levocetirizina,La Sante,Bajo,1
levocetirizina,Solución o suspensión oral,"levocetirizina 0,1 g + levocetirizina 0,05 g",ml,Antiss D,Lafrancol,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Cetrilev,Hetero Labs,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Levodrine,Novamed,Alto,3
levocetirizina,Solución o suspensión oral,"levocetirizina 0,1 g",ml,Levocetirizina,Mk,Medio,2
levocetirizina,Tableta o cápsula,levocetirizina 5 mg,mg,Glencet,Glenmark,Bajo,1
levocetirizina,Solución o suspensión oral,levocetirizina 5 mg/ml,ml,Levoc Gotas,Legrand,Medio,2
levocetirizina y fenilefrina,Solución o suspensión oral,"levocetirizina 0,05 g + fenilefrina 0,1 g",ml,Levoc,Legrand,Medio,2
levocetirizina y fenilefrina,Jarabe,"levocetirizina 0,05 g + fenilefrina 0,1 g",ml,Histaflex,Biochem,Medio,2
levocetirizina y fenilefrina,Solución o suspensión oral,"levocetirizina 0,05 g + fenilefrina 0,1 g",ml,Levoc,Legrand,Medio,2
levocetirizina y montelukast,Tableta o cápsula,levocetirizina 5 mg + montelukast 10 mg,mg,Glemont L,Glenmark,Bajo,1
levocetirizina y montelukast,Tableta o cápsula,levocetirizina 5 mg + montelukast 10 mg,mg,Renestex,Procaps,Alto,3
levocetirizina y montelukast,Tableta o cápsula,levocetirizina 5 mg + montelukast 10 mg,mg,Glemont L,Glenmark,Bajo,1
levocetirizina y montelukast,Tableta o cápsula,levocetirizina 5 mg + montelukast 10 mg,mg,Renestex,Procaps,Alto,3
levocloperastina,Solución o suspensión oral,"levocloperastina 0,4 g",ml,Levronc,Novamed,Medio,2
levocloperastina,Solución o suspensión oral,"levocloperastina 0,4 g",ml,Levronc,Novamed,Medio,2
levodopa + carbidopa + entacapona,Tableta o cápsula,carbidopa 50 mg + entacapona 200 mg + levodopa 200 mg,mg,Stalevo,Sandoz,Medio,2
levodopa + carbidopa + entacapona,Tableta o cápsula,carbidopa 50 mg + entacapona 200 mg + levodopa 200 mg,mg,Stalevo,Sandoz,Medio,2
levodopa + carbidopa + entacapone,Tableta o cápsula,"entacapone 200 mg + levodopa 50 mg + carbidopa 12,5 mg",mg,Levocapone 50/12.5/200,Humax,Medio,2
levodopa + carbidopa + entacapone,Tableta o cápsula,entacapone 200 mg + levodopa 200 mg + carbidopa 50 mg,mg,Levocapone 200/50/200,Humax,Medio,2
levodopa + carbidopa + entacapone,Tableta o cápsula,"entacapone 200 mg + levodopa 150 mg + carbidopa 37,5 mg",mg,Levocapone 150/37.5/200,Humax,Medio,2
levodopa + carbidopa + entacapone,Tableta o cápsula,"entacapone 200 mg + levodopa 50 mg + carbidopa 12,5 mg",mg,Levocapone 50/12.5/200,Humax,Medio,2
levodopa + carbidopa + entacapone,Tableta o cápsula,entacapone 200 mg + levodopa 200 mg + carbidopa 50 mg,mg,Levocapone 200/50/200,Humax,Medio,2
levodopa + carbidopa + entacapone,Tableta o cápsula,entacapone 200 mg + levodopa 100 mg + carbidopa 25 mg,mg,Levocapone 100/25/200,Humax,Medio,2
levodopa + carbidopa + entacapone,Tableta o cápsula,"entacapone 200 mg + levodopa 150 mg + carbidopa 37,5 mg",mg,Levocapone 150/37.5/200,Humax,Medio,2
levodopa y carbidopa,Tableta o cápsula,levodopa 250 mg + carbidopa 25 mg,mg,Carbidopa,Sanofi Aventis,Alto,3
levodopa y carbidopa,Tableta o cápsula,levodopa 250 mg + carbidopa 25 mg,mg,Parken,Siegfried,Bajo,1
levodopa y carbidopa,Tableta o cápsula,levodopa 250 mg + carbidopa 25 mg,mg,Carbidopa,Sanofi Aventis,Bajo,1
levodopa y carbidopa,Tableta o cápsula,levodopa 250 mg + carbidopa 25 mg,mg,Parken,Siegfried,Alto,3
levodopa y entacapona,Tableta o cápsula,"levodopa 50 mg + carbidopa 12,5 mg + entacapona 200 mg",mg,Stalevo,Sandoz,Medio,2
levodopa y entacapona,Tableta o cápsula,levodopa 100 mg + entacapona 200 mg + carbidopa 25 mg,mg,Stalevo,Sandoz,Medio,2
levodopa y entacapona,Tableta o cápsula,"entacapona 200 mg + carbidopa 37,5 mg + levodopa 150 mg",mg,Stalevo,Sandoz,Medio,2
levodopa y entacapona,Tableta o cápsula,"levodopa 50 mg + carbidopa 12,5 mg + entacapona 200 mg",mg,Stalevo,Sandoz,Medio,2
levodopa y entacapona,Tableta o cápsula,levodopa 100 mg + entacapona 200 mg + carbidopa 25 mg,mg,Stalevo,Sandoz,Medio,2
levodopa y entacapona,Tableta o cápsula,"entacapona 200 mg + carbidopa 37,5 mg + levodopa 150 mg",mg,Stalevo,Sandoz,Medio,2
levodropropizina,Jarabe,"levodropropizina 0,6 g",ml,Levopront R,Bago,Alto,3
levodropropizina,Jarabe,levodropropizina 600 mg,ml,Percof,Exeltis,Alto,3
levodropropizina,Jarabe,levodropropizina 600 mg,ml,Synatos 0.6% Jarabe,Novamed,Bajo,1
levodropropizina,Jarabe,"levodropropizina 0,6 g",ml,Levodropropizina,Tecnoquimicas,Bajo,1
levodropropizina,Jarabe,"levodropropizina 0,6 g",ml,Levopront R,Bago,Medio,2
levodropropizina,Jarabe,levodropropizina 600 mg,ml,Synatos 0.6% Jarabe,Novamed,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Truxa,Monte Verde,Alto,3
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levofloxacino,Genfar,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levofloxacina,Sandoz,Bajo,1
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Truxa,Monte Verde,Alto,3
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Uroflav,Mega Labs,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levofloxacina,Tecnoquimicas,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Adix,Legrand,Alto,3
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Flurinex,Bioquifar,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Adix,Legrand,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Uroflav,Mega Labs,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levofloxacina,Laproff,Bajo,1
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Safelevo,Msn Laboratories Private,Bajo,1
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Safelevo 750,Msn Laboratories Private,Bajo,1
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levo-Denk,Denk Pharma,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Avosal,Anzg,Medio,2
levofloxacina,Solución o suspensión inyectable,levofloxacina 500 mg,ml,Sopril,Biofluidos & Farma,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Prinf,Eurofarma,Alto,3
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Joinlev,Joinpharm,Alto,3
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Levofloxacino,Genfar,Medio,2
levofloxacina,Solución o suspensión inyectable,"levofloxacina 0,5 g",ml,Faxov,Corpaul,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Levofloxacino,Momenta,Bajo,1
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levofloxacino,La Sante,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Levofloxacina,Mk,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levocina,Altadis,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Truxa,Monte Verde,Alto,3
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Uroflav,Mega Labs,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levofloxacina,Tecnoquimicas,Bajo,1
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levofloxacina,Laproff,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Safelevo,Msn Laboratories Private,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Safelevo 750,Msn Laboratories Private,Medio,2
levofloxacina,Solución o suspensión inyectable,levofloxacina 500 mg,ml,Levofloxacina,Ads Pharma,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Avosal,Anzg,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Prinf,Eurofarma,Medio,2
levofloxacina,Solución o suspensión inyectable,"levofloxacina 0,5 g",ml,Faxov,Corpaul,Medio,2
levofloxacina,Tableta o cápsula,levofloxacina 750 mg,mg,Levofloxacino,Momenta,Bajo,1
levofloxacina,Tableta o cápsula,levofloxacina 500 mg,mg,Levocina,Altadis,Alto,3
levomepromazina,Tableta o cápsula,levomepromazina 25 mg,mg,Sinogan,Sanofi Aventis,Alto,3
levomepromazina,Solución o suspensión oral,levomepromazina 40 mg,ml,Sinogan,Sanofi Aventis,Alto,3
levomepromazina,Tableta o cápsula,levomepromazina 100 mg,mg,Levomepromazina,Humax,Alto,3
levomepromazina,Tableta o cápsula,levomepromazina 100 mg,mg,Levomepromazina,Actifarma,Bajo,1
levomepromazina,Tableta o cápsula,levomepromazina 25 mg,mg,Levomepromazina,Actifarma,Bajo,1
levomepromazina,Solución o suspensión oral,levomepromazina 40 mg,ml,Levomepromazina,Actifarma,Bajo,1
levomepromazina,Tableta o cápsula,levomepromazina 25 mg,mg,Levomepromazina,Humax,Medio,2
levomepromazina,Solución o suspensión oral,levomepromazina 40 mg,ml,Levomepromazina,Humax,Medio,2
levomepromazina,Tableta o cápsula,levomepromazina 25 mg,mg,Sinogan,Sanofi Aventis,Alto,3
levomepromazina,Solución o suspensión oral,levomepromazina 40 mg,ml,Sinogan,Sanofi Aventis,Alto,3
levomepromazina,Tableta o cápsula,levomepromazina 100 mg,mg,Levomepromazina,Humax,Alto,3
levomepromazina,Tableta o cápsula,levomepromazina 25 mg,mg,Levomepromazina,Procaps,Bajo,1
levomepromazina,Tableta o cápsula,levomepromazina 100 mg,mg,Levomepromazina,Actifarma,Bajo,1
levomepromazina,Tableta o cápsula,levomepromazina 25 mg,mg,Levomepromazina,Actifarma,Medio,2
levomepromazina,Solución o suspensión oral,levomepromazina 40 mg,ml,Levomepromazina,Actifarma,Bajo,1
levomepromazina,Tableta o cápsula,levomepromazina 25 mg,mg,Levomepromazina,Humax,Medio,2
levomepromazina,Solución o suspensión oral,levomepromazina 40 mg,ml,Levomepromazina,Humax,Medio,2
levonorgestrel,Implante,levonorgestrel 52 mg,mg,Mirena,Bayer,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Postinor,Gedeon Richter,Alto,3
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Postday,Lafrancol,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Postinor-1,Gedeon Richter,Alto,3
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Postday 1,Lafrancol,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Evinet,Procaps,Alto,3
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Femerlev,Mylan,Bajo,1
levonorgestrel,Implante,"levonorgestrel 13,5 mg",mg,Jaydess,Bayer,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Libelle,Novamed,Medio,2
levonorgestrel,Implante,levonorgestrel 75 mg,mg,Sinoimplant,Lafrancol,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Postcoid,Gimed,Bajo,1
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Evinet,Procaps,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Onive-2,Profamilia,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Onive 1,Profamilia,Bajo,1
levonorgestrel,Implante,"levonorgestrel 19,5 mg",mg,Kyleena,Bayer,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Cerciorat,Exeltis,Alto,3
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Seguret,Healht And Live,Bajo,1
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Emergyn,Pauly,Medio,2
levonorgestrel,Implante,levonorgestrel 52 mg,mg,Mirena,Bayer,Medio,2
levonorgestrel,Implante,levonorgestrel 75 mg,mg,Jadelle,Bayer,Bajo,1
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Postday,Lafrancol,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Evinet,Procaps,Bajo,1
levonorgestrel,Implante,"levonorgestrel 13,5 mg",mg,Jaydess,Bayer,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 0,75 mg",mg,Libelle,Novamed,Alto,3
levonorgestrel,Implante,levonorgestrel 75 mg,mg,Sinoimplant,Lafrancol,Alto,3
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Evinet,Procaps,Alto,3
levonorgestrel,Implante,"levonorgestrel 19,5 mg",mg,Kyleena,Bayer,Medio,2
levonorgestrel,Tableta o cápsula,"levonorgestrel 1,5 mg",mg,Cerciorat,Exeltis,Bajo,1
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,15 mg + etinilestradiol 0,03 mg",mg,Nordette,Pfizer,Alto,3
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,15 mg + etinilestradiol 0,03 mg",mg,Microfemin,Gedeon Richter,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,15 mg + etinilestradiol 0,03 mg",mg,Norvetal,Synthesis,Bajo,1
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,15 mg + etinilestradiol 0,03 mg",mg,Microgynon,Tecnofarma,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,"etinilestradiol 0,03 mg + levonorgestrel 0,15 mg",mg,Oceira,Profamilia,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,levonorgestrel 150 mcg + etinilestradiol 30 mcg,mcg,Activa 21,Faes Farma,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,etinilestradiol 20 mcg + levonorgestrel 100 mcg,mcg,Activa 21 Suave,Faes Farma,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,25 mg + etinilestradiol 0,05 mg",mg,Neogynon,Bayer,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,15 mg + etinilestradiol 0,03 mg",mg,Nordette,Pfizer,Alto,3
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,15 mg + etinilestradiol 0,03 mg",mg,Microfemin,Gedeon Richter,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,15 mg + etinilestradiol 0,03 mg",mg,Microgynon,Tecnofarma,Bajo,1
levonorgestrel y etinilestradiol,Tableta o cápsula,"etinilestradiol 0,03 mg + levonorgestrel 0,15 mg",mg,Oceira,Profamilia,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,levonorgestrel 150 mcg + etinilestradiol 30 mcg,mcg,Levonorgestrel,Biosyntec,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,etinilestradiol 20 mcg + levonorgestrel 100 mcg,mcg,Activa 21 Suave,Faes Farma,Medio,2
levonorgestrel y etinilestradiol,Tableta o cápsula,"levonorgestrel 0,25 mg + etinilestradiol 0,05 mg",mg,Neogynon,Bayer,Medio,2
levosimendan,Solución o suspensión inyectable,"levosimendan 12,5 mg",ml,Daxim,Abbvie,Medio,2
levosimendan,Polvo para reconstituir a Solución o suspensión inyectable,"levosimendan 12,5 mg",mg,Daxmen,Xinetix Pharma,Medio,2
levosulpirida,Tableta o cápsula,levosulpirida 25 mg,mg,Dislep,Ferrer,Medio,2
levosulpirida,Tableta o cápsula,levosulpirida 25 mg,mg,Garmisch,Mega Labs,Alto,3
levosulpirida,Tableta o cápsula,levosulpirida 25 mg,mg,Levogastrol,Faes Farma,Bajo,1
levosulpirida,Tableta o cápsula,levosulpirida 25 mg,mg,Leprit,Bussié,Bajo,1
levosulpirida,Tableta o cápsula,levosulpirida 25 mg,mg,Garmisch,Mega Labs,Medio,2
levosulpirida,Tableta o cápsula,levosulpirida 25 mg,mg,Levogastrol,Faes Farma,Alto,3
levosulpiride + pancreatina + simeticona,Tableta o cápsula,simeticona 80 mg + levosulpiride 25 mg + pancreatina 150 mg,mg,Dimoflax Enzimatico,Novamed,Medio,2
levosulpiride + pancreatina + simeticona,Tableta o cápsula,simeticona 80 mg + levosulpiride 25 mg + pancreatina 150 mg,mg,Dimoflax Enzimatico,Novamed,Medio,2
levotiroxina,Tableta o cápsula,levotiroxina 75 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina,Tableta o cápsula,levotiroxina 125 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina,Tableta o cápsula,"levotiroxina 0,1 mg",mg,Eutirox,Merck,Medio,2
levotiroxina,Tableta o cápsula,levotiroxina 100 mcg,mcg,Tiroxin,Siegfried,Bajo,1
levotiroxina,Tableta o cápsula,levotiroxina 100 mcg,mcg,Eltroxin,Aspen,Alto,3
levotiroxina,Tableta o cápsula,levotiroxina 75 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina,Tableta o cápsula,levotiroxina 125 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina,Tableta o cápsula,"levotiroxina 0,1 mg",mg,Eutirox,Merck,Medio,2
levotiroxina,Tableta o cápsula,levotiroxina 100 mcg,mcg,Tiroxin,Siegfried,Alto,3
levotiroxina,Tableta o cápsula,levotiroxina 100 mcg,mcg,Eltroxin,Aspen,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Tirogal,Bioquifar,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Levotiroxina,Procaps,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 100 mcg,mcg,Levotiroxina,Procaps,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 100 mcg,mcg,Tirogal,Bioquifar,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 25 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 100 mcg,mcg,Levotiroxina,Tecnoquimicas,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 137 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 112 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 88 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 150 mcg,mcg,Eutirox,Merck,Bajo,1
levotiroxina de sodio,Tableta o cápsula,"levotiroxina sodica 0,112 mg",mg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,"levotiroxina sodica 0,088 mg",mg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 62 mcg,mcg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,"levotiroxina sodica 0,025 mg",mg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 25 mcg,mcg,Levotiroxina,Tecnoquimicas,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 75 mcg,mcg,Levotiroxina,Tecnoquimicas,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 137 mcg,mcg,Synthroid,Lafrancol,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 125 mcg,mcg,Levotiroxina,Tecnoquimicas,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 200 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 175 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 175 mcg,mcg,Synthroid,Lafrancol,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 200 mcg,mcg,Synthroid,Lafrancol,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Tirogal,Bioquifar,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Levotiroxina,Procaps,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 100 mcg,mcg,Levotiroxina,Procaps,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 100 mcg,mcg,Tirogal,Bioquifar,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 25 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 137 mcg,mcg,Eutirox,Merck,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 112 mcg,mcg,Eutirox,Merck,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 88 mcg,mcg,Eutirox,Merck,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 150 mcg,mcg,Eutirox,Merck,Bajo,1
levotiroxina de sodio,Tableta o cápsula,"levotiroxina sodica 0,112 mg",mg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,"levotiroxina sodica 0,088 mg",mg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 62 mcg,mcg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,"levotiroxina sodica 0,025 mg",mg,Tiroxin,Siegfried,Medio,2
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 25 mcg,mcg,Levotiroxina,Tecnoquimicas,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 75 mcg,mcg,Levotiroxina,Tecnoquimicas,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 137 mcg,mcg,Synthroid,Lafrancol,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 125 mcg,mcg,Levotiroxina,Tecnoquimicas,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 200 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 175 mcg,mcg,Eutirox,Merck,Alto,3
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 175 mcg,mcg,Synthroid,Lafrancol,Bajo,1
levotiroxina de sodio,Tableta o cápsula,levotiroxina sodica 200 mcg,mcg,Synthroid,Lafrancol,Bajo,1
levotiroxina sodica,Tableta o cápsula,levotiroxina sodica 25 mcg,mcg,Synthroid,Lafrancol,Medio,2
levotiroxina sodica,Tableta o cápsula,levotiroxina sodica 50 mcg,mcg,Synthroid,Lafrancol,Medio,2
levotiroxina sodica,Tableta o cápsula,levotiroxina sodica 75 mcg,mcg,Synthroid,Lafrancol,Alto,3
levotiroxina sodica,Tableta o cápsula,levotiroxina sodica 88 mcg,mcg,Synthroid,Lafrancol,Bajo,1
levotiroxina sodica,Tableta o cápsula,levotiroxina sodica 100 mcg,mcg,Synthroid,Lafrancol,Alto,3
