principioactivo,concentracion,formafarmaceutica
CLORURO DE SODIO + CITRATO DE SODIO DIHIDRATO + CLORURO DE POTASIO MONOHIDRATO + GLUCONATO DE ZINC + DEXTROSA ANHIDRA,263 MG + 294MG + 150MG+13 937MG+ 1350MG,SOLUCIÓN ORAL
CLORURO DE SODIO + CITRATO DE SODIO DIHIDRATO + CLORURO DE POTASIO MONOHIDRATO +  DEXTROSA MONOHIDRATO,3 5 G + 2 9 G + 1 5 G   20 G /1000 ML,POLVO PARA RECONSTITUIR A SOLUCION ORAL
CLORURO DE SODIO + CITRATO DE POTASIO  MONOHIDRATADO  + GLUCONATO DE ZINC + GLUCOSA MONOHIDRATADA  DEXTROSA MONOHIDRATADA  + CITRATO DE SODIO  DIHIDRATADO,207 6 MG + 216 0 MG + 6 1 MG + 2 5G + 94 0 MG / 100ML,SOLUCIÓN DE REHIDRATACIÓN ORAL
CLORURO DE SODIO + CLORURO DE POTASIO + GLUCONATO DE ZINC + GLUCOSA MONOHIDRATADA  DEXTROSA MONOHIDRATADA  + CITRATO DE SODIO  DIHIDRATADO,175 7 MG + 150 6 MG + 6 MG + 1 188 G + 289 2 MG,SOLUCIÓN DE REHIDRATACIÓN ORAL
CLORURO DE SODIO  ORIGEN MARINO,6 5 MG / ML,SOLUCIÓN NASAL
CLORURO DE AMONIO,2G / 100 ML,JARABE
CLORURO DE AMONIO + GUAYACOL,3 G + 2 G / 100 ML,JARABE
CLORURO DE POTASIO + CLORURO DE MAGNESIO + CLORURO DE CALCIO,122 66 MG + 15 66 MG + 16 2 MG / 100ML,SOLUCIÓN TÓPICA
"CLORURO DE POTASIO + CLORURO DE SODIO +
LACTATO DE SODIO SOLUCIÓN AL 50% P/P +  CLORURO DE CALCIO DIHIDRATADO + CLORURO DE MAGNESIO HEXAHIDRATADO + GLUCONATO DE ZINC + DEXTROSA ANHIDRA",149 300MG + 11 700MG + 629 200MG + 29 400MG + 40 800MG + 13 937MG + 4550 000MG / ML,SOLUCIÓN ORAL
CLOTRIMAZOL,1 G / 100 G,POLVO TÓPICO
CLOTRIMAZOL,1 G / 100ML,LOCIÓN
CLOTRIMAZOL,1 G / 100ML,SOLUCIÓN TÓPICA
CLOTRIMAZOL,1 G / 100ML,SUSPENSIÓN PARA AEROSOL
CLOTRIMAZOL,1 G / 100 G,CREMA
CLOTRIMAZOL,2G / 100 G,CREMA
CLOTRIMAZOL,1 G/ 100 G,CREMA VAGINAL
CLOTRIMAZOL,2 G / 100G,CREMA VAGINAL
CLOTRIMAZOL,100MG,OVULO VAGINAL/TABLETA VAGINAL
CLOTRIMAZOL,200MG,OVULO VAGINAL/TABLETA VAGINAL
CLOTRIMAZOL,500MG,OVULO VAGINAL/TABLETA VAGINAL
CONCHA DE OSTRA GRANULADA + VITAMINA D,1 471 MG EQUIVALENTE A CALCIO ELEMENTAL 500 MG + 125 UI,TABLETA
CONDROITINA SULFATO DE SODIO + HIPROMELOSA,1MG + 2MG,SOLUCIÓN OFTÁLMICA
CROTAMITON,0 1,LOCIÓN
DANTRON/1 8 DIHIDROXIANTRACENA9 10 DIONE+CASCARA SAGRADA,50MG + 100MG,TABLETA
DESLORATADINA,50MG /100ML,JARABE
DESLORATADINA,2 5MG,TABLETA ORODISPERSABLE
DESLORATADINA,5MG,TABLETA ORODISPERSABLE
DESLORATADINA,5MG,TABLETA
DESLORATADINA+FENILEFRINA CLORHIDRATO,2 5MG + 20MG,TABLETA
DELTAMETRINA + PIPERONIL BUTÓXIDO,0 2 G + 0 1 G / 100 ML,LOCIÓN TÓPICA
DELTAMETRINA + PIPERONIL BUTÓXIDO,0 02 G + 0 1 G / 100 ML,LOCIÓN
DEXIBUPROFENO + CAFEÍNA,100 MG + 30 MG,TABLETA
DEXIBUPROFENO + ACETAMINOFÉN +CAFEINA,200MG+ 250MG + 65 MG,TABLETA
DEXIBUPROFENO + FENILEFRINA CLORHIDRATO + LEVOCETIRIZINA DICLORHIDRATO,200MG + 10 MG + 2 5 MG,CÁPSULA DE GELATINA DURA
DEXTROMETORFANO BROMHIDRATO,15MG/5ML,JARABE
DEXTROMETORFANO BROMHIDRATO,200MG,TABLETA
DEXTROMETORFANO BROMHIDRATO,300MG,TABLETA
DEXTROMETORFANO BROMHIDRATO,1G / 100 ML,SUSPENSIÓN
DEXTROMETORFANO BROMHIDRATO,2 G / 100 ML,SUSPENSIÓN
DEXTROMETORFANO BROMHIDRATO,0 3 MG / 100 ML,JARABE
DEXTROMETORFANO BROMHIDRATO,0 2 MG/100 ML,JARABE
DEXTROMETORFANO BROMHIDRATO,2MG / ML,JARABE
DEXTROMETORFANO BROMHIDRATO,11 MG,LAMINAS DISPERSABLES
DEXTROMETORFANO BROMHIDRATO,5 5 MG,LAMINAS DISPERSABLES
DEXTROMETORFANO BROMHIDRATO + N-ACETILCISTEINA,0 300 G + 2 G /100ML,JARABE
DEXTROMETORFANO BROMHIDRATO  + GUAFENESINA GUAYACOLATO DE GLICERILO  + CLORHIDRATO DE FENILEFRINA,10MG + 200MG +5MG *,CÁPSULA DE GELATINA BLANDA
DEXTROMETORFANO BROMHIDRATO + GUAFENESINA  GUAYACOLATO DE GLICERILO,0 08 G + 2 G / 100 ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO +GUAFENESINA  GUAYACOLATO DE GLICERILO,0 1 G + 0 9 G/ 100 ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO + GUAFEBESINA  GUAYACOLATO DE GLICERILO,0 2 G + 1 G / 100 ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO + GUAFENESINA  GUAYACOLATO DE GLICERILO,0 2 G + 2 G /100 ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO + GUAFENESINA  GUAYACOLATO DE GLICERILO,0 3 G + 2 G / 100 ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO + GUAFENESINA  GUAYACOLATO DE GLICERILO,0 15 G + 1 G/ 100ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO + GUAFENESINA  GUAYACOLATO DE GLICERILO,0 2 G + 3 G/ 100 ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO + GUAFENESINA  GUAYACOLATO DE GLICERILO,0 3 G + 2 G / 100 ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO + GUAFENESINA  GUAYACOLATO DE GLICERILO,0 5 G + 2 G/100ML,SOLUCIÓN ORAL JARABE
DEXTROMETORFANO BROMHIDRATO +GUAFENESINA   GUAYACOLATO DE GLICERILO,10 MG + 200 MG,CAPSULA BLANDA
DICLOFENACO SÓDICO,140 MG,PARCHE
DICLOFENACO SÓDICO,1G /100 ML,GEL
DICLOFENACO SÓDICO,5G / 100ML,GEL
DICLOFENACO SÓDICO,25 MG,TABLETA/CAPSULA
DICLOFENACO SÓDICO,50 MG,TABLETA/CAPSULA
DICLOFENACO DIETILAMINA,1G / 100 ML,GEL TÓPICO
DICLOFENACO DIETILAMINA,1 16 G / 100 ML,GEL TÓPICO
DICLOFENACO DIETILAMINA,1G / 100 G,CREMA
DICLOFENACO DIETILAMINA,1G / 100 G,UNGÜENTO
DICLOFENACO DIETILAMINA,0 01,AEROSOL
DICLOFENACO DIETILAMINA,0 02,GEL OFTÁLMICO
DICLOFENACO SÓDICO + SALICILATO DE METILO,1G / 100 G,CREMA
DICLOFENACO SÓDICO + SALICILATO DE METILO,6 G / 100 G,CREMA
DICLOFENACO DIETILAMONIO EQUIVALENTE A DICLOFENACO SÓDICO,1G / 100 ML,GEL
DICOFLENACO + FENILEFRINA + LORATADINA,50 MG + 30 MG + 5 MG,TABLETA DE LIBERACIÓN CONTROLADA
DIMENHIDRINATO,50MG,TABLETA
DIMENHIDRINATO,50 MG,TABLETA DISPERSABLE
DIMENHIDRINATO,0 25G / 100 ML,SOLUCION ORAL
DIMETICONA,4 G / 100 ML,LOCIÓN
DIMETILPOLISILOXANO,66 6 MG / MILILITRO,SUSPENSIÓN ORAL
DIOSMECTITA,3G/3 76G DE POLVO,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL
DOCUSATO DE SODIO,50 MG,TABLETA
DOCUSATO DE SODIO,100 MG,CÁPSULA
ECONAZOL  NITRATO,1G /100 G,CREMA
ECONAZOL  NITRATO,1G / 100 ML,GEL
ECONAZOL  NITRATO,1G / 100 ML,LOCIÓN TÓPICA
ESOMEPRAZOL,10MG,CAPSULA
ETOFENAMATO,10 G / 100 G,CREMA TOPICA
ETOFENAMATO,10 G / 100 G,GEL TÓPICO
ETOFENAMATO,5 G / 100 G,GEL TÓPICO
EUCALIPTOL + ALCANFOR + MENTOL + SALICILATO DE METILO,3 6 G + 5 G + 3 G + 5 G / 100 G,UNGÜENTO
EUCALIPTOL + ALCANFOR + MENTOL + SALICILATO DE METILO,1 2 G+ 5 G + 2 5 G  + 3 5 G /100 G,GEL
EUCALIPTOL + ALCANFOR + MENTOL,1 31 G + 5 24 G + 2 8 G / 100 G,UNGÜENTO
EUCALIPTOL + FLORURO DE SODIO + MENTOL + SALICILATO DE METILO + TIMOL,0 0922 G + 0 0221 G + 0 0425 G + 0 060 G + 0 0639 G / 100 ML,SOLUCIÓN BUCAL
FAMOTIDINA,10 MG,TABLETA
FAMOTIDINA,10 MG,TABLETA DISPERSABLE
FAMOTIDINA,10 MG,SUSPENSIÓN ORAL
FAMOTIDINA,10 MG,TABLETA MASTICABLE
2-FENOXIETANOL + PRAMOXINA CLORHIDRATO,0 5 G + 1 G / 100 G,GEL TÓPICO
FEXOFENADINA CLORHIDRATO,120 MG,TABLETA
FEXOFENADINA CLORHIDRATO,30 MG,TABLETA
FEXOFENADINA CLORHIDRATO,60 MG,CÁPSULA DURA
FEXOFENADINA CLORHIDRATO,30 MG / 5ML,SUSPENSIÓN ORAL
FENOL,32 5MG,TABLETA
FENOL,1 4 G / 100 ML,SOLUCIÓN BUCAL
FENOL+ALCANFOR + MENTOL,0 5  G + 1 G + 0 6 G / 100 G,BARRA
FENOXIMETILPENICLINA POTASICA,554 MG EQUIVALENTE A FENOXIMETILPENICILINA 500 MG,TABLETA CUBIERTA
FLUORURO SÓDICO,0 03 G / 100 ML,ENJUAGUE BUCAL
FLUORURO SÓDICO,0 05 G / 100 ML,ENJUAGUE BUCAL
FLUORURO SÓDICO,0 06 G / 100 ML,ENJUAGUE BUCAL
FLUORURO SÓDICO,0 25 G / 100 ML,ENJUAGUE BUCAL
FLUORURO SÓDICO,0 24 G / 100 G,CREMA DENTAL
FLUORURO SÓDICO,0 25 G / 100 G,CREMA DENTAL
FLUORURO SÓDICO,0 32 G / 100 G,CREMA DENTAL
FLUORURO SÓDICO,0 34 G / 100 G,CREMA DENTAL
FLUORURO SÓDICO,0 05,SOLUCIÓN
FLUORURO SÓDICO,0 00098,SOLUCIÓN
FLUORURO SÓDICO,1 10 G / 100 ML,GEL
FLUORURO SÓDICO,2 55 G / 100 ML,GEL
FOSFATO DE SODIO DIBÁSICO + FOSFATO DE SODIO MONOBÁSICO,6 G + 16 G / 100 ML,SOLUCIÓN ORAL
FRUCTOOLIGOSACÁRIDOS DE CADENA CORTA  NUTRAFLORA P-95,CADA SOBRE DE 5 8 G DE POLVO FINO SOLUBLE CONTIENE FRUCTOOLIGOSACÁRIDOS DE CADENA CORTA  NUTRAFLORA P-95  5 GRAMOS,POLVO
FLURBIPROFENO,8 75MG,TABLETA PARA DISOLUCIÓN BUCAL
FLURBIPROFENO,8 75MG/ DOSIS,SOLUCIÓN
GLICERINA,1 237G/ SUPOSITORIO PEDIATRICO,SUPOSITORIO
GLICERINA,1 36 G /SUPOSITORIO PEDIATRICO,SUPOSITORIO
GLICERINA,2 39G / SUPOSITORIO,SUPOSITORIO
GLICERINA + CARBOXIMETIL CELULOSA SÓDICA  VISCOSIDAD ALTA  + CARBOXIMETIL CELULOSA SÓDICA  VISCOSIDAD MEDIA,9 MG + 1 75 MG + 3  25 MG,SOLUCIÓN OFTÁLMICA
GLICERINA+CARBOXIMETILCELULOSA SODICA VISCOSIDAD BAJA 7LFPH,10MG/ML+5MG/ML,SOLUCIÓN OFTÁLMICA
GLICERINA + CARBOXIMETILCELULOSA SÓDICA,0 9% + 0 5%,SOLUCIÓN OFTÁLMICA
GLICERINA + CARBOXIMETIL CELULOSA + POLISORBATO 80,1 % + 05 % + 0 5 %,EMULSIÓN OFTÁLMICA
GLICERINA + HIDROXIPROPILMETIL-CELULOSA + ÁCIDO BÓRICO + BORATO DE SODIO,10MG + 2MG+ 10MG +0 57 MG / ML,SOLUCIÓN OFTÁLMICA
GLICERINA + POLISORBATO 80,10  MG + 10 MG / ML,SUSPENSIÓN OFTÁLMICA
GLICERIL GUAYACOLATO  GUAIFENESINA,2 G / 100 ML,JARABE
GLICERIL GUAYACOLATO  GUAIFENESINA,1 33 G /100ML,JARABE
GLICERIL GUAYACOLATO  GUAIFENESINA,1G / 100ML,JARABE
GLICERIL GUAYACOLATO  GUAIFENESINA,1200 MG,TABLETA DE LIBERACIÓN PROLONGADA
GLICERIL GUAYACOLATO  GUAIFENESINA,600MG,TABLETA DE LIBERACIÓN PROLONGADA
GLICERIL GUAYACOLATO  GUAIFENESINA,200MG,CÁPSULA
GLICERIL GUAYACOLATO+ACETILCISTEINA,2 0 G  + 0 67 G/100 ML,JARABE
GLUCOFURANÓSIDO,5 G / 100 G,CREMA TÓPICA
GLUCOMANNAN,500 MG,CÁPSULA
GLUCOMANNAN,500 MG,TABLETA
GLUCOSA + CLORURO DE POTASIO + CLORURO DE SODIO + CITRATO DE SODIO DIHIDRATADO,1 080 G + 150 MG + 175 MG + 290 MG / 100 ML,SOLUCIÓN ORAL
GLUCONATO FERROSO EQUIVALENTE A HIERRO ELEMENTAL + NICOTINAMIDA + PIRIDOXINA CLORHIDRATO  VITAMINA B6  + TIAMINA CLORHIDRATO  VITAMINA B1  + RIBOFLAVINA  VITAMINA B2,200 MG + 111 MG + 58 MG + 21 4 MG + 11 2 MG / 100ML,SOLUCIÓN ORAL
CLORHEXIDINA   GLUCONATO,4 G/ 100 ML,SOLUCION TOPICA  JABON LIQUIDO ANTISEPTICO
CLORHEXIDINA GLUCONATO,3G / 100 ML,SOLUCIÓN JABÓN
CLORHEXIDINA GLUCONATO,4 MG,TABLETA MASTICABLE
GOMA GUAR,100 G,POLVO ORAL
HEPARINOIDE + AESCINA + SALICILATO DE DIETILAMINA,0 3 G + 1 G / 100 G,GEL TÓPICO
HEPARINOIDE + HIALURONIDASA,5 000 U H D B  + 15 000 U I,POMADA
HIALURONATO DE SODIO,2 MG / ML,SOLUCIÓN OFTÁLMICA
HIALURONATO DE SODIO,4 MG / ML,SOLUCIÓN OFTÁLMICA
HIALURONATO DE SODIO+CONDROITIN SULFATO DE SODIO  ORIGEN BOVINO,1MG +1 8MG,SOLUCIÓN OFTÁLMICA
HIALURONATO DE SODIO +POLIETILENGLICOL 400 +PROPILENGLICOL,1 5 MG + 4 MG + 3MG / ML,SOLUCIÓN OFTÁLMICA
HIDROXIDO DE ALUMINIO,6 15 G / 100 ML,SUSPENSIÓN ORAL
HIDROXIDO DE ALUMINIO,234 MG,TABLETA
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO + SIMETICONA,32 50 G + 5 67 G + 1 66 G / 100 ML,NO REPORTA
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO + SIMETICONA,282 MG + 85 MG + 25 MG,TABLETA
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO + SIMETICONA,200 MG + 200 MG + 20  MG,CÁPSULA BLANDA
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO + SIMETICONA,4G + 4G + 0 4G / 100ML,SUSPENSIÓN ORAL
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO + SIMETICONA,8G + 8G + 0 6G / 100ML,SUSPENSIÓN ORAL
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO + BICARBONATO DE SODIO + SIMETICONA,2G + 2G + 1 75 G  + 0 3G / 100 ML,SUSPENSIÓN ORAL
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO +  CARBONATO DE CALCIO + SIMETICONA,34 85 G + 22 27 G + 8 2 G + 0 5 G /100 ML,SUSPENSIÓN
HIDRÓXIDO DE ALUMINIO + HIDRÓXIDO DE MAGNESIO +  CARBONATO DE CALCIO + SIMETICONA,470 MG + 328 MG + 410 MG + 25 MG,TABLETA
HIDRÓXIDO DE MAGNESIO,8 5 G/100 ML,SUSPENSIÓN ORAL
HEXETIDINA,0 001,SOLUCIÓN BUCOFARÍNGEA
HIDROCORTISONA  TÓPICO,0 01,CREMA
HIDROCORTISONA  TÓPICO,DEL 2%  AL  5%,CREMA
HIDROCORTISONA  TÓPICO,0 1,GEL
HIDROCORTISONA  TÓPICO,0 5%  Y  1%,LOCIÓN
HIDROCORTISONA  TÓPICO,0 001,POMADA
HIDROXIPROPILMETILCELULOSA,3 MG / ML,SOLUCIÓN OFTÁLMCA
HIDROXIPROPILMETILCELULOSA  HPMC  + DEXTRAN,3 0 MG + 1 MG / ML,SOLUCIÓN OFTÁLMICA
IBUPROFENO,0 05,GEL TÓPICO
IBUPROFENO,0 05,SOLUCION EN AEROSOL
IBUPROFENO,100 MG,TABLETA
IBUPROFENO,2 G / 100 ML,SUSPENSIÓN ORAL
IBUPROFENO,4 G / 100 ML,SUSPENSIÓN ORAL
IBUPROFENO,100 MG / 5 ML,SUSPENSIÓN ORAL
IBUPROFENO,50MG,GRANULADO
IBUPROFENO,100MG,GRANULADO
IBUPROFENO,150MG,GRANULADO
IBUPROFENO,200MG,GRANULADO
IBUPROFENO,300MG,GRANULADO
IBUPROFENO,200 MG,TABLETA RECUBIERTA
IBUPROFENO,400 MG,TABLETA RECUBIERTA
IBUPROFENO,400 MG,GRAGEA
IBUPROFENO,400MG,CÁPSULA BLANDA
IBUPROFENO,10MG,TABLETA MASTICABLE
IBUPROFENO + N-BUTIL BROMURO DE HIOSCINA,200MG + 10MG,TABLETA CUBIERTA CON PELÍCULA /CAPSULA BLANDA
IBUPROFENO + N-BUTIL BROMURO DE HIOSCINA,400MG + 20MG,TABLETA CUBIERTA CON PELÍCULA /CAPSULA BLANDA
IBUPROFENO + DIFENHIDRAMINA,400 MG + 25MG,TABLETA
IBUPROFENO + DIFENHIDRAMINA,400 MG + 25MG,CÁPSULA BLANDA
IBUPROFENO + CAFEÍNA,200 MG + 30 MG,TABLETA
IBUPROFENO + CAFEÍNA,400 MG + 65 MG,CÁPSULA BLANDA
IBUPROFENO + CAFEÍNA + HIOSCINA,200 MG + 30 MG + 10 MG,CÁPSULA BLANDA
IBUPROFENO+CLORFENIRAMINA MALEATO + FENILEFRINA CLORHIDRATO + DEXTROMETORFANO BROMOHIDRATO,400 MG + 4MG + 10MG + 20MG,CÁPSULA BLANDA
IBUPROFENO+CLORFENIRAMINA MALEATO + FENILEFRINA CLORHIDRATO + DEXTROMETORFANO BROMOHIDRATO,400 MG + 4 MG + 25 MG + 30 MG,CÁPSULA BLANDA
IBUPROFENO+FENILEFRINA CLORHIDRATO + DIFENHIDRAMINA CORHIDRATO+ DEXTROMETORFANO CLORHIDRATO,400 MG +10 MG + 25 MG + 20MG,CÁPSULA BLANDA
IBUPROFENO + FENILEFRINA CLORHIDRATO,200MG + 20  MG,TABLETA RECUBIERTA
ICTAMOL  + ÓXIDO DE ZINC,1 G + 20 G / 100 G,EMULSIÓN TÓPICA
ICTAMOL  + ÓXIDO DE ZINC,1 5  G + 15 G / 100 G,EMULSIÓN TÓPICA
ICTAMOL  + ÓXIDO DE ZINC,1 G + 15 G / 100 G,POMADA
ICTAMOL  + ÓXIDO DE ZINC,1 G + 20 G / 100 G,POMADA
ICTAMOL  + ÓXIDO DE ZINC,1 G + 40 G / 100 G,UNGÜENTO TÓPICO
ISOFLAVONAS DE SOYA,"166 66000MG DE EXTRACTO DE ISOFLAVONAS DE SOYA AL 15%  EQUIVALENTE A 25MG DE
ISOFLAVONAS",TABLETA RECUBIERTA
"ISOFLAVONAS  + CARBONATO DE
CALCIO  + VITAMINA D",40 MG +  200 MG +  150 UI,TABLETA RECUBIERTA
ITRACONAZOL,1 G / 100ML,SOLUCION ORAL
KETOCONAZOL,2 G / 100 G,CREMA
KETOCONAZOL,0 5 G / 100 ML,CHAMPÚ
KETOCONAZOL,1 G / 100ML,CHAMPÚ
KETOCONAZOL,2 G /100 ML,CHAMPÚ
KETOCONAZOL,1G / 100ML,POLVO TÓPICO
KETOCONAZOL,2 G / 100G,POLVO TÓPICO
KETOCONAZOL,1G / 100ML,SOLUCIÓN TÓPICA
KETOCONAZOL,2 G / 100 G,UNGÜENTO TÓPICO
KETOPROFENO,50 MG,TABLETA
KETOPROFENO,50 MG,CÁPSULA DURA
KETOPROFENO,50 MG,CÁPSULA BLANDA
KETOPROFENO,50 MG,GRÁNULOS
KETOPROFENO,25 MG,TABLETA
KETOPROFENO,50 MG,CREMA
KETOPROFENO,2  5 %,GEL TÓPICO
KETOPROFENO,0 025,ESPUMA TÓPICA EN AEROSOL
LACTASA,9000 UNIDADES,TABLETA MASTICABLE
LACTOBACILLUS ACIDOFILOS,17  G / 100 G,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL
LACTOBACILLUS ACIDOFILOS,170 MG DE LIOFILIZADO TINDALIZADO EQUIVALENTE A 5000 MILLONES DE BACILOS LÁCTICOS ÁCIDO FILOS LIOFILIZADOS,CÁPSULA DURA
LACTOBACILLUS ACIDOFILOS  BACILOS LACTICOS ACIDOFILOS VIVOS,CADA 100 ML DE SOLUCIÓN CONTIENE 1000 MILLION CFU,SOLUCIÓN ORAL
LACTOBACILLUS ACIDOPHILUS + BIFIDOBACTERIUM INFANTIS,10 CFU/G + 10 CFU/G,CÁPSULA DURA
BIFIDOBACTERIUM LONGUM + LACTOBACILLUS RHAMNOSUS + LACTOBACILLUS ACIDOPHILUS,400 MILLONES + 400 MILLONES + 1 200 MILLONES  CFU,CÁPSULA
LACTOBACILLUS CASEI DG,8 BILLONES DE CÉLULAS VIVAS Ó 24 BILLONES DE CÉLULAS VIVAS EN CADA CAPSULA O SOBRE DE 3G,CÁPSULA DURA Y GRANULADO EN POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL
LACTOBACILLUS CASEI  LACTOBACILLUS RHAMNOSUS  STREPTOCOCCUS THERMOPHILUS  BIFIDOBACTERIUM BREVE  LACTOBACILLUS ACIDOPHILUS  BIFIDOBACTERIUM INFANTIS  LACTOBACILLUS BULGARICUS,1 X 109 UFC/SACHET,POLVO PARA DISOLUCIÓN
LACTOBACILLUS CASEI DG + INULINA,8 BILLONES DE CÉLULAS VIVAS DE LACTOBACILLUS CASEI POR SOBRE DE 5G Y 4 G DE INULINA,GRANULADO EN POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL
LACTOBACILLUS RHAMNOSUS ROSELL + LACTOBACILLUS ACIDOPHILLUS ROSELL,1 9 BILLONES + 0 1 BILLONES,CÁPSULA
"LACTOBACILLUS SALIVARIUS  BIFIDOBACTERIUM INFANTIS  BIFIDOBACTERIUM LONGUM  BIFIDOBACTERIUM LACTIS  LACTOBACILLUS ACIDOPHILUS  LACTOBACILLUS PLANTARUM  LACTOBACILLUS PARACASEI 
STREPTOCOCCUS FAECIUM  LACTOCOCCUS LACTIS","CADA SOBRE DE 1 950G Y 1 450G CONTIENEN  0 56X 10⁹ DE LACTOBACILLUS SALIVARIUS  BIFIDOBACTERIUM INFANTIS 
BIFIDOBACTERIUM LONGUM  BIFIDOBACTERIUM LACTIS  LACTOBACILLUS ACIDOPHILUS  LACTOBACILLUS PLANTARUM  LACTOBACILLUS PARACASEI 
STREPTOCOCCUS FAECIUM  LACTOCOCCUS LACTIS 5 X 10⁹ UFC/ SOBRE",GRANULADO EN POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL
LAURIL ÉTER SULFATO DE SODIO + COMPLEJO YODO + POLIETOXI ETANOL POLIPROPOXI,4 6 G + 1 55 G + 2 0 G / 100 ML,JABÓN LÍQUIDO
LEVOCETIRIZINA,5MG,CAPSULA BLANDA
LEVOCETIRIZINA,0 1 G / 100 ML,JARABE
LEVOCETIRIZINA,0 2 G / 100 ML,JARABE
LEVOCETIRIZINA,0 05 G / 1 00 ML,JARABE
LEVOCETIRIZINA,5 MG / ML,SOLUCION ORAL  GOTAS
LEVOCETIRIZINA,5MG,TABLETA
LEVOCETIRIZINA,5MG,TABLETA ORODISPERSABLE
LEVONORGESTREL,1 5 MG,TABLETA
LEVONORGESTREL,0 75 MG,TABLETA
LIDOCAÍNA,0 55 G / 100 ML,SOLUCIÓN TÓPICA
LIDOCAÍNA + PRILOCAINA,2 5 G + 2 5 G / 100 G,GEL
LIDOCAÍNA + PRILOCAINA,2 5 G + 2 5 G / 100 G,CREMA TÓPICA
LIDOCAINA+TRIPAFLAVINA,5 493 MG + 0 418 MG/ML,SOLUCIÓN BUCAL
LIDOCAINA+TRIPAFLAVINA,0 55G + 0 04G / 100ML,SOLUCIÓN TÓPICA
LIDOCAINA + CLORURO DE CETILPIRIDINIO,1MG + 2MG,TABLETA PARA DISOLVER EN LA BOCA
LOPERAMIDA,2 MG,TABLETA
LOPERAMIDA,2 MG,CÁPSULA
LOPERAMIDA,40 MG / 100 ML,SUSPENSIÓN ORAL
LORATADINA,10MG,TABLETA
LORATADINA,10MG,TABLETA DISPERSABLE
LORATADINA,10MG,TABLETA EFERVESCENTE
LORATADINA,100MG / 100ML,JARABE
LORATADINA,10 MG,CÁPSULA DE GELATINA BLANDA
LORATADINA + FENILEFRINA,5 MG + 30 MG,GRAGEAS
MAGALDRATO + SIMETICONA,8G + 0 6G / 10ML,SUSPENSIÓN ORAL
MAGALDRATO AL 10% + DIMETICONA AL 30%  EQUIVALENTE A DIMETILPOLISILOXANO,8 G+ 1G/100ML,GEL **
MEBEVERINA CLORHIDRATO,135 MG,TABLETA RECUBIERTA
MENTOL,3 5 G / 100 ML,GEL
MENTOL,0 1,SPRAY
MICONAZOL NITRATO,2 G / 100G,CREMA
MICONAZOL NITRATO,2 G / 100 ML,LOCIÓN
MICONAZOL NITRATO,2G / 100G,POLVO
MICONAZOL NITRATO,2G /100 G,UNGÜENTO
MICONAZOL NITRATO,2G / 100G,POLVO PARA USO TÓPICO
MICONAZOL NITRATO,2G / 100 ML,SOLUCIÓN TÓPICA
MINOXIDIL,2 G/ 100 ML,SOLUCIÓN TÓPICA
MINOXIDIL,2 G /100 ML,GEL
MINOXIDIL,5G / 100ML,SOLUCIÓN TÓPICA
MINOXIDIL,5 G / 100 ML,GEL
MINOXIDIL,2 G / 100 G,CREMA TÓPICA
MINOXIDIL,0 05,ESPUMA TÓPICA EN AEROSOL
MINOXIDIL,1 G /100 ML,LOCIÓN
MINOXIDIL,1G / 100ML,EMULSIÓN
MIRISTATO DE ISOPROPILO,50 G / 100 ML,LOCIÓN
NAFAZOLINA CLORHIDRATO,0 125 MG / ML,SOLUCIÓN OFTÁLMICA
NAFAZOLINA CLORHIDRATO,0 5 MG / ML,SOLUCIÓN OFTÁLMICA
NAFAZOLINA CLORHIDRATO,1 MG / ML*,SOLUCIÓN OFTÁLMICA
NAFAZOLINA CLORHIDRATO,1 2 MG / ML,SOLUCIÓN OFTÁLMICA
NAFAZOLINA NITRATO,1 MG / ML,SOLUCIÁN OFTALMICA
NAPROXENO SÓDICO,MENOR O IGUAL A 250MG,TODAS
NAPROXENO SÓDICO,275 MG O MENOR,TABLETA
